treatment,time,n_at_risk,n_deaths,n_censored,qx,px,lx,hx,km_lx,se_km,km_ci_lo,km_ci_hi,na_H,na_se,na_ci_lo,na_ci_hi
Male/20x,621.3266666666666,868,6,0,0.0069124423963133645,0.9930875576036866,0.9588431590656284,0.00014080123070705353,0.9588431590656284,0.006625443539095166,0.945857289729002,0.9718290284022549,0.04191319598957648,0.006890935587313484,0.028406962238442048,0.0554194297407109
Male/20x,670.5905555555555,862,1,0,0.001160092807424594,0.9988399071925754,0.9577308120133482,1.6367965578932228e-05,0.9577308120133482,0.006710483864595584,0.9445782636387409,0.9708833603879555,0.04307328879700107,0.006987904449142226,0.02937699607668231,0.05676958151731983
Male/20x,741.5074999999999,861,11,0,0.012775842044134728,0.9872241579558653,0.9454949944382648,0.00026528159395008396,0.9454949944382648,0.0075712566003095765,0.930655331501658,0.9603346573748716,0.0558491308411358,0.007979297271578605,0.04020970818884173,0.07148855349342986
Male/20x,789.9766666666667,850,3,0,0.0035294117647058825,0.9964705882352941,0.9421579532814238,2.9535821510611186e-05,0.9421579532814238,0.007785810683400641,0.9268977643419586,0.9574181422208891,0.05937854260584168,0.008235376984884777,0.04323720371546752,0.07551988149621584
Male/20x,909.6838888888889,847,5,0,0.0059031877213695395,0.9940968122786304,0.9365962180200222,0.00012526748130406348,0.9365962180200222,0.00812744306801462,0.9206664296067136,0.9525260064333309,0.06528173032721123,0.008648176636604707,0.048331304119466,0.08223215653495645
Male/20x,956.9480555555555,842,4,0,0.004750593824228029,0.995249406175772,0.932146829810901,0.0001052587259483811,0.932146829810901,0.008387786918674691,0.9157067674502987,0.9485868921715034,0.07003232415143926,0.00896844437785137,0.05245417317085057,0.08761047513202794
Male/20x,1002.1880555555555,838,5,0,0.0059665871121718375,0.9940334128878282,0.9265850945494996,7.923350301518128e-05,0.9265850945494996,0.00869871157069858,0.9095356198709303,0.9436345692280688,0.0759989112636111,0.009356977445310043,0.05765923547080341,0.09433858705641877
Male/20x,1077.7172222222223,833,8,0,0.009603841536614645,0.9903961584633854,0.9176863181312571,0.0002020709933354677,0.9176863181312571,0.009166494802808539,0.8997199883177524,0.9356526479447619,0.08560275280022574,0.00995400665283038,0.0660928997606782,0.10511260583977328
Male/20x,1125.473611111111,825,14,0,0.01696969696969697,0.983030303030303,0.9021134593993327,0.0003621224826416161,0.9021134593993327,0.009910880178190688,0.882688134250079,0.9215387845485865,0.1025724497699227,0.01093853637854856,0.08113291846796752,0.12401198107187789
Male/20x,1172.7363888888888,811,12,0,0.014796547472256474,0.9852034525277436,0.888765294771969,0.00020285851121293363,0.888765294771969,0.010486579461900335,0.8682115990266444,0.9093189905172936,0.11736899724217918,0.011742929625795763,0.09435285517561949,0.1403851393087389
Male/20x,1246.2202777777777,799,23,0,0.028785982478097622,0.9712140175219024,0.8631813125695218,0.0006181601337107241,0.8631813125695218,0.011461563866852906,0.8407166473904901,0.8856459777485535,0.1461549797202768,0.013188021409014476,0.12030645775860843,0.17200350168194517
Male/20x,1293.4675,776,33,0,0.04252577319587629,0.9574742268041238,0.8264738598442716,0.0009301833176390349,0.8264738598442716,0.01263040185378875,0.8017182722108456,0.8512294474776976,0.1886807529161531,0.015123662347560575,0.15903837471493437,0.21832313111737184
Male/20x,1340.1783333333333,743,25,0,0.033647375504710635,0.9663526244952894,0.7986651835372638,0.00045897904258088525,0.7986651835372638,0.013374020111835586,0.7724521041180661,0.8248782629564615,0.22232812842086375,0.016553277558756196,0.1898837044057016,0.25477255243602587
Male/20x,1414.7419444444445,718,73,0,0.10167130919220056,0.8983286908077994,0.717463848720801,0.002297996841487287,0.717463848720801,0.015016100906322207,0.6880322909444095,0.7468954064971925,0.3239994376130643,0.020386625337065464,0.28404165195241604,0.3639572232737126
Male/20x,1461.355,645,64,0,0.09922480620155039,0.9007751937984496,0.6462736373748611,0.00209355786620294,0.6462736373748611,0.015946379248394406,0.6150187340480081,0.6775285407017141,0.4232242438146147,0.023863180875011037,0.37645240929959306,0.46999607832963636
Male/20x,1511.2244444444443,581,32,0,0.055077452667814115,0.9449225473321858,0.6106785317018911,0.0007665612922147275,0.6106785317018911,0.01626225088370536,0.5788045199698286,0.6425525434339536,0.4783016964824288,0.02577303013782471,0.4277865574122924,0.5288168355525652
